Productname,price,color,available or not
Lakme Absolute Spotlight Eye Shadow Palette - Berry Martini,₹796,"Select ,SHADE, (,4,) ,Berry Martini,Stilettos,Sundowner,Smokin Glam",available
Lakme Absolute Perfect Radiance Skin Brightening Night Creme,₹449,,available
Lakme Gentle & Soft Deep Pore Cleanser With Avocado Soft And Glowing Skin,₹135,"Select ,SIZE, (,2,) ,60ml,120ml",available
Lakme Blush & Glow Strawberry Gel Face Wash 100% Real Strawberry Extract,₹233,"Select ,SIZE, (,2,) ,100g,150g",available
Lakme 9 To 5 Flawless Matte Complexion Compact - Melon,₹385,"Select ,SHADE, (,3,) ,Melon,Almond Matte,Apricot Matte",available
Lakme 9 to 5 Weightless Mousse Foundation - Rose Ivory,₹439,"Select ,SHADE, (,5,) ,Rose Ivory,Beige Vanilla,Beige Caramel,Rose Honey,Caramel",available
Lakme Eyeconic Volume Mascara - Deep Black,₹306,,available
Lakme Peach Milk Soft Creme,₹200,"Select ,SIZE, (,3,) ,50 g,100 g,150g",available
Lakme Nail Colour Remover with Vitamin E,₹99,,available
Lakme 9 to 5 Weightless Mini Mousse Foundation - Rose Ivory,₹111,"Select ,SHADE, (,2,) ,Rose Ivory,Beige Vanilla",available
Lakme Lip Love Chapstick SPF 15 - Cherry,₹135,"Select ,SHADE, (,7,) ,Cherry,Insta Pink,Caramel,Strawberry,Apricot,Mango,Purlipcare",available
Lakme Face It Compact - Marble,₹180,"Select ,SHADE, (,6,) ,Marble,Natural Beige,Pearl,Coral,Shell,Natural Cinnamon",available
Lakme Absolute Matte Melt Mini Liquid Lip Color - Brown Souvenir,₹276,"Select ,SHADE, (,8,) ,BrownSouvenir,PurpleTourist,NomadPink,WineVoyage,PinkFootprint,IndieMaroon,CoralCamp,MagentaRhythm",available
Lakme 9to5 Primer + Matte Liquid Lip Color - MB2 Intense Latte,₹374,"Select ,SHADE, (,25,) ,Mb2 Intense Latte,Mr5 Rustic Red,Mn5 Mystic Nude,Mr4 Deepmaroon,Mp3 Dusty Rose,Mo1 Confident Coral,Mp5 Pink Valentine,Mn2 Mocha,Mm4 Dynamic Purple,Mr3 Vivid Crimson,Mn1 Beachy Nude,Mr1 Fiery Scarlet,Mb1 Hustling Nude,Mb4 Brick Nude,Mp4 Salmon Pink,Mn3 Spicd Capucino,Mn4 Nude Punch,Mp6 Hot Pink,Mr2 Driven Red,Mm1 Edgymauve,Mp1 Everyday Pink,Mm3 Crisp Wine,Mb3 Strong Espresso,Mp2 Power Pink,Mm2 Passion Berry",available
Lakme Sun Expert SPF 50 PA+++ Light Weight Gel Sunscreen,₹513,"Select ,SIZE, (,2,) ,50ml,100g",available
Lakme Peach Milk Moisturizer SPF 24 PA++,₹252,"Select ,SIZE, (,2,) ,60ml,120ml",available
Lakme 9to5 Primer + Matte Liquid Concealer - 10 Ivory,₹315,"Select ,SHADE, (,8,) ,10 Ivory,39 Cocoa,38 Walnut,16 Sand,20 Nude,24 Beige,30 Cinnamon,34 Almond",available
Lakme 9To5 Vitamin C+ Facial Serum With 98% Pure Vitamin C Complex For Healthy Glowing Skin,₹539,"Select ,SIZE, (,2,) ,15ml,30ml",available
Lakme Rose Face Powder With Sunscreen - Warm Pink,₹199,"Select ,SHADE, (,2,) ,Warm Pink,lkmrosepodr_soft",available
