Productname,price,color,available or not
Lakme Nail Colour Remover with Vitamin E,₹99,,available
Lakme Peach Milk Soft Creme,₹200,"Select ,SIZE, (,3,) ,50 g,100 g,150g",available
Lakme Face It Compact - Marble,₹180,"Select ,SHADE, (,6,) ,Marble,Natural Beige,Pearl,Coral,Shell,Natural Cinnamon",available
Lakme Lip Love Chapstick SPF 15 - Cherry,₹135,"Select ,SHADE, (,7,) ,Cherry,Insta Pink,Caramel,Strawberry,Apricot,Mango,Purlipcare",available
Lakme 9 to 5 Weightless Mini Mousse Foundation - Rose Ivory,₹114,"Select ,SHADE, (,2,) ,Rose Ivory,Beige Vanilla",available
Lakme 9to5 Primer + Matte Liquid Lip Color - MB2 Intense Latte,₹374,"Select ,SHADE, (,25,) ,Mb2 Intense Latte,Mp4 Salmon Pink,Mn3 Spicd Capucino,Mn4 Nude Punch,Mp6 Hot Pink,Mr1 Fiery Scarlet,Mp1 Everyday Pink,Mp2 Power Pink,Mm3 Crisp Wine,Mb1 Hustling Nude,Mr2 Driven Red,Mb3 Strong Espresso,Mm2 Passion Berry,Mm1 Edgymauve,Mn2 Mocha,Mr5 Rustic Red,Mr4 Deepmaroon,Mp3 Dusty Rose,Mp5 Pink Valentine,Mb4 Brick Nude,Mm4 Dynamic Purple,Mr3 Vivid Crimson,Mo1 Confident Coral,Mn1 Beachy Nude,Mn5 Mystic Nude",available
Lakme Sun Expert SPF 50 PA+++ Light Weight Gel Sunscreen,₹513,"Select ,SIZE, (,2,) ,50ml,100g",available
Lakme Perfecting Liquid Foundation - Natural Pearl,₹180,"Select ,SHADE, (,4,) ,Pearl,Marble,Shell,Coral",available
Lakme Rose Face Powder With Sunscreen - Warm Pink,₹199,"Select ,SHADE, (,2,) ,Warm Pink,lkmrosepodr_soft",available
Lakme 9to5 Primer + Matte Liquid Concealer - 10 Ivory,₹315,"Select ,SHADE, (,8,) ,10 Ivory,39 Cocoa,34 Almond,16 Sand,20 Nude,24 Beige,30 Cinnamon,38 Walnut",available
Lakme 9To5 Vitamin C+ Day Cream,₹314,,available
Lakme Kajal - Black,₹80,,available
Lakme Absolute Hydra Pro Gel Creme,₹524,,available
Lakme Absolute 3D Lipstick - Elegant Pink,₹743,"Select ,SHADE, (,20,) ,Elegant Pink,16 Nude Bae,17 Nude Trip,15 Nude Pop,Pink Passion,20 Wine Flair,Red Carnival,Romeo Red,Peach Pinch,Purple Evening,British Brown,Maroon Magic,Wine Whisper,Plum Spell,13 Nude Blush,19 Nude Souvenir,18 Nude Brick,22 Pink Buzz,21 Pink Bloom,14 Nude Reign",available
Lakme True Wear Nail Color - Nudes V014,₹130,"Select ,SHADE, (,15,) ,Nudes V014,RC102,D415,Shade 505,N525,N237,Shade 504,D416,D417,N238,Shade 506,TM103,202,404,N236",available
Lakme 9To5 Vitamin C+ Facial Serum With 98% Pure Vitamin C Complex For Healthy Glowing Skin,₹539,"Select ,SIZE, (,2,) ,15ml,30ml",available
Lakme Color Crush Nail Art - U4,₹165,"Select ,SHADE, (,29,) ,U4,M3 Original Nude,M16 Mint Blue,M15 Purple,M18 Deep Olive,S5,M11 Classic Silver,C2,F3,T3,P2,G4,M4 Vermilion Red,P1,M10 Fern Green,M5 Burgundy,M2 Cocoa Nude,M9 Fuschia,M20 Candy Pink,M1 Ox Blood,M14 Sand Blue,T2,G12,G9,S1,S8,F4,P3,F1",available
Lakme Eyeconic Kajal - Twin Pack,₹218,,available
Lakme Youth Infinity Day Creme,₹740,,available
Lakme Eyeconic Insta Cool Kajal - Black,₹225,,available
Lakme Blush & Glow Strawberry Sheet Mask Fruit Facial Like Glow,₹100,"Select ,SHADE, (,5,) ,Strawberry,Lemon,Watermelon,Kiwi,Pomegranate",available
Lakme Sun Expert Tinted Sunscreen SPF 50 PA +++,₹518,"Select ,SIZE, (,2,) ,50ml,100ml",available
Lakme Absolute Perfect Radiance Skin Brightening Night Creme,₹449,,available
Lakme Eyeconic Volume Mascara - Deep Black,₹306,,available
Lakme Blush & Glow Strawberry Gel Face Wash 100% Real Strawberry Extract,₹233,"Select ,SIZE, (,2,) ,100g,150g",available
Lakme 9 to 5 Weightless Mousse Foundation - Rose Ivory,₹439,"Select ,SHADE, (,5,) ,Rose Ivory,Beige Vanilla,Beige Caramel,Rose Honey,Caramel",available
Lakme Absolute Matte Melt Liquid Lip Color - Mauve Mallow,₹455,"Select ,SHADE, (,25,) ,Mauve Mallow,Orange Sunshine,Sour Cherry,Mocha Shot,Revenge Red,Starlet Pink,Mild Mauve,Mulberry Feast,Wine N Dine,Tangerine Pout,Pink Silk,Earthy Brown,Rose Love,Nude Sensation,Purple Underground,Coral Reef,Firestarter Red,Rhythmic Red,Pink Drama,Brown Tan,Royal Rouge,Firey Pink,Blushing Brink,Rich Magenta,Peach Rose",available
Lakme Gentle & Soft Deep Pore Cleanser With Avocado Soft And Glowing Skin,₹135,"Select ,SIZE, (,2,) ,60ml,120ml",available
Lakme 9 To 5 Flawless Matte Complexion Compact - Melon,₹385,"Select ,SHADE, (,3,) ,Melon,Almond Matte,Apricot Matte",available
Lakme 9 to 5 Complexion Care Cream SPF 30 PA++ - Beige,₹110,"Select ,SHADE, (,3,) ,Beige,Honey,Bronze",available
Lakme Absolute Spotlight Eye Shadow Palette - Berry Martini,₹796,"Select ,SHADE, (,4,) ,Berry Martini,Stilettos,Smokin Glam,Sundowner",available
Lakme Absolute Perfect Radiance Serum With 98% Pure Niacinamide For 2X Skin Brightening,₹539,"Select ,SIZE, (,2,) ,30ml,15ml",available
Lakme Sun Expert Ultra Matte SPF 40 Pa+++ Compact,₹214,,available
Lakme 9 To 5 CC Mousse - Beige,₹432,"Select ,SHADE, (,4,) ,Beige,Almond,Bronze,Frappe",available
Lakme Insta Eye Liner - Black,₹150,"Select ,SHADE, (,4,) ,Black,Blue,Golden,Green",available
Lakme Eyeconic Kajal - Classic Brown,₹201,"Select ,SHADE, (,9,) ,Classic Brown,Midnight Blue,White,Sparkling Black,Forest Green,Regal Green,Royal Blue,Turquoise,Deep Black",available
Lakme 9 To 5 Primer + Matte Perfect Cover Foundation - W120 Warm Creme,₹341,"Select ,SHADE, (,20,) ,W120 Warm Creme,W180 Warm Natural,C390 Cool Cocoa,Warm Wood,C140 Cool Rose,C100 Cool Ivory,N340 Neutral Almond,W320 Warm Caramel,W160 Warm Sand,N220 Neutral Medium,C380 Cool Walnut,W240 Warm Beige,C280 Cool Tan,C300 Cool Cinnamon,N360 Neutral Chestnut,N260 Neutral Honey,Warm Light,Neutral Light,Cool Mocha,N200 Neutral Nude",available
